eval_id,prompt_id,level,model_id,model_name,video,expected_note,audio_accuracy,video_accuracy,av_alignment,overall
eval_4j_cosmos3-super,4J,4,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level4\4j.mp4,"['C4', 'E4', 'C4', 'E4']",0.263,0.75,0.012,0.358
eval_5f_cosmos3-super,5F,5,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level5\5f.mp4,"['F4', 'A4']",0.561,1.0,0.828,0.795
eval_5g_cosmos3-super,5G,5,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level5\5g.mp4,"['G4', 'B4', 'D5']",0.301,1.0,0.009,0.458
eval_5h_cosmos3-super,5H,5,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level5\5h.mp4,"['E4', 'G4', 'A4', 'C5']",0.308,0.5,0.345,0.386
eval_5i_cosmos3-super,5I,5,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level5\5i.mp4,"['E4', 'G4', 'B4']",0.218,0.9,0.378,0.505
eval_5j_cosmos3-super,5J,5,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level5\5j.mp4,"['C4', 'G4', 'E4', 'A4']",0.22,1.0,0.762,0.656
eval_1f_joyai-echo,1F,1,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level1\1f.mp4,F4,0.328,1.0,0.108,0.497
eval_1g_joyai-echo,1G,1,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level1\1g.mp4,B4,0.318,0.375,0.655,0.439
eval_1h_joyai-echo,1H,1,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level1\1h.mp4,C5,0.622,0.6,0.0,0.428
eval_1i_joyai-echo,1I,1,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level1\1i.mp4,A3,0.297,0.6,0.155,0.36
eval_1j_joyai-echo,1J,1,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level1\1j.mp4,E3,0.386,0.4,0.532,0.435
eval_2f_joyai-echo,2F,2,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level2\2f.mp4,"['E4', 'F4', 'G4', 'A4']",0.343,0.4,0.0,0.26
eval_2g_joyai-echo,2G,2,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level2\2g.mp4,"['D4', 'F4', 'A4']",0.542,0.4,0.0,0.33
eval_2h_joyai-echo,2H,2,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level2\2h.mp4,"['G4', 'A4', 'B4', 'C5']",0.425,0.4,0.0,0.289
eval_2i_joyai-echo,2I,2,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level2\2i.mp4,"['C4', 'E4', 'F4', 'G4']",0.427,0.327,0.036,0.275
eval_2j_joyai-echo,2J,2,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level2\2j.mp4,"['F4', 'A4', 'B4']",0.417,0.317,0.0,0.257
eval_3f_joyai-echo,3F,3,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level3\3f.mp4,"['A4', 'G4', 'F4', 'E4']",0.311,0.9,0.269,0.505
eval_3g_joyai-echo,3G,3,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level3\3g.mp4,"['C5', 'B4', 'A4', 'G4']",0.499,0.5,0.406,0.471
eval_3h_joyai-echo,3H,3,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level3\3h.mp4,"['A4', 'G4', 'E4']",0.283,1.0,0.078,0.472
eval_3i_joyai-echo,3I,3,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level3\3i.mp4,"['G4', 'F4', 'D4', 'C4']",0.383,0.9,0.523,0.606
eval_3j_joyai-echo,3J,3,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level3\3j.mp4,"['B4', 'A4', 'F4']",0.35,0.9,0.078,0.461
eval_4f_joyai-echo,4F,4,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level4\4f.mp4,"['D4', 'D4', 'D4']",0.528,0.9,0.102,0.53
eval_4g_joyai-echo,4G,4,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level4\4g.mp4,"['A4', 'A4', 'A4', 'A4']",0.3,0.375,0.0,0.236
eval_4h_joyai-echo,4H,4,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level4\4h.mp4,"['G4', 'G4', 'E4', 'G4']",0.311,0.575,0.389,0.427
eval_4i_joyai-echo,4I,4,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level4\4i.mp4,"['F4', 'F4', 'F4']",0.275,0.9,0.0,0.411
eval_4j_joyai-echo,4J,4,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level4\4j.mp4,"['C4', 'E4', 'C4', 'E4']",0.592,0.775,0.368,0.589
eval_5f_joyai-echo,5F,5,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level5\5f.mp4,"['F4', 'A4']",0.217,0.9,0.0,0.391
eval_5g_joyai-echo,5G,5,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level5\5g.mp4,"['G4', 'B4', 'D5']",0.254,0.4,0.0,0.229
eval_5h_joyai-echo,5H,5,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level5\5h.mp4,"['E4', 'G4', 'A4', 'C5']",0.328,0.4,0.184,0.31
eval_5i_joyai-echo,5I,5,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level5\5i.mp4,"['E4', 'G4', 'B4']",0.233,0.9,0.0,0.397
eval_5j_joyai-echo,5J,5,joyai-echo,JoyAI Echo,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\joyai-echo\level5\5j.mp4,"['C4', 'G4', 'E4', 'A4']",0.302,1.0,0.0,0.456
eval_1f_minimax-h3,1F,1,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level1\1f.mp4,F4,0.416,0.2,0.0,0.216
eval_1g_minimax-h3,1G,1,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level1\1g.mp4,B4,0.428,0.2,0.0,0.22
eval_1h_minimax-h3,1H,1,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level1\1h.mp4,C5,0.354,0.55,0.0,0.316
eval_1i_minimax-h3,1I,1,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level1\1i.mp4,A3,0.674,0.2,0.0,0.306
eval_1j_minimax-h3,1J,1,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level1\1j.mp4,E3,0.41,1.0,0.847,0.748
eval_2f_minimax-h3,2F,2,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level2\2f.mp4,"['E4', 'F4', 'G4', 'A4']",0.375,0.575,0.099,0.362
eval_2g_minimax-h3,2G,2,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level2\2g.mp4,"['D4', 'F4', 'A4']",0.633,1.0,0.008,0.574
eval_2h_minimax-h3,2H,2,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level2\2h.mp4,"['G4', 'A4', 'B4', 'C5']",0.375,0.675,0.104,0.399
eval_2i_minimax-h3,2I,2,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level2\2i.mp4,"['C4', 'E4', 'F4', 'G4']",0.375,1.0,0.104,0.512
eval_2j_minimax-h3,2J,2,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level2\2j.mp4,"['F4', 'A4', 'B4']",0.367,1.0,0.131,0.518
eval_3f_minimax-h3,3F,3,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level3\3f.mp4,"['A4', 'G4', 'F4', 'E4']",0.463,1.0,0.094,0.54
eval_3g_minimax-h3,3G,3,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level3\3g.mp4,"['C5', 'B4', 'A4', 'G4']",0.438,0.675,0.098,0.419
eval_3h_minimax-h3,3H,3,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level3\3h.mp4,"['A4', 'G4', 'E4']",0.55,0.767,0.006,0.463
eval_3i_minimax-h3,3I,3,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level3\3i.mp4,"['G4', 'F4', 'D4', 'C4']",0.375,0.575,0.094,0.361
eval_3j_minimax-h3,3J,3,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level3\3j.mp4,"['B4', 'A4', 'F4']",0.454,1.0,0.494,0.657
eval_4f_minimax-h3,4F,4,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level4\4f.mp4,"['D4', 'D4', 'D4']",0.571,0.533,0.218,0.452
eval_4g_minimax-h3,4G,4,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level4\4g.mp4,"['A4', 'A4', 'A4', 'A4']",0.588,0.475,0.156,0.419
eval_4h_minimax-h3,4H,4,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level4\4h.mp4,"['G4', 'G4', 'E4', 'G4']",0.525,0.675,0.133,0.46
eval_4i_minimax-h3,4I,4,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level4\4i.mp4,"['F4', 'F4', 'F4']",0.388,0.533,0.006,0.324
eval_4j_minimax-h3,4J,4,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level4\4j.mp4,"['C4', 'E4', 'C4', 'E4']",0.45,0.65,0.064,0.404
eval_5f_minimax-h3,5F,5,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level5\5f.mp4,"['F4', 'A4']",0.256,0.15,0.0,0.142
eval_5g_minimax-h3,5G,5,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level5\5g.mp4,"['G4', 'B4', 'D5']",0.324,0.85,0.009,0.414
eval_5h_minimax-h3,5H,5,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level5\5h.mp4,"['E4', 'G4', 'A4', 'C5']",0.253,1.0,0.327,0.537
eval_5i_minimax-h3,5I,5,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level5\5i.mp4,"['E4', 'G4', 'B4']",0.275,0.15,0.0,0.149
eval_5j_minimax-h3,5J,5,minimax-h3,MiniMax H3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\minimax-h3\level5\5j.mp4,"['C4', 'G4', 'E4', 'A4']",0.359,0.5,0.064,0.32
eval_1f_dreamx-creator,1F,1,dreamx-creator,DreamX Creator,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\dreamx-creator\level1\1f.mp4,F4,0.48,0.6,0.0,0.378
eval_1g_dreamx-creator,1G,1,dreamx-creator,DreamX Creator,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\dreamx-creator\level1\1g.mp4,B4,0.0,0.2,0.0,0.07
eval_1h_dreamx-creator,1H,1,dreamx-creator,DreamX Creator,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\dreamx-creator\level1\1h.mp4,C5,0.0,0.95,0.0,0.332
eval_1i_dreamx-creator,1I,1,dreamx-creator,DreamX Creator,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\dreamx-creator\level1\1i.mp4,A3,0.48,0.6,0.0,0.378
eval_1j_dreamx-creator,1J,1,dreamx-creator,DreamX Creator,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\dreamx-creator\level1\1j.mp4,E3,0.0,0.2,0.0,0.07
eval_2f_dreamx-creator,2F,2,dreamx-creator,DreamX Creator,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\dreamx-creator\level2\2f.mp4,"['E4', 'F4', 'G4', 'A4']",0.375,0.55,0.146,0.368
eval_2g_dreamx-creator,2G,2,dreamx-creator,DreamX Creator,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\dreamx-creator\level2\2g.mp4,"['D4', 'F4', 'A4']",0.367,0.767,0.0,0.397
eval_2h_dreamx-creator,2H,2,dreamx-creator,DreamX Creator,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\dreamx-creator\level2\2h.mp4,"['G4', 'A4', 'B4', 'C5']",0.365,0.675,0.0,0.364
